Name,Score
"Abbeville, Alabama",Stub
"Adamsville, Alabama",Stub
"Addison, Alabama",Stub
"Akron, Alabama",Stub
"Alabaster, Alabama",Stub
"Albertville, Alabama",Stub
"Alexander City, Alabama",Stub
"Aliceville, Alabama",Start
"Allgood, Alabama",Stub
"Altoona, Alabama",Start
"Andalusia, Alabama",B
"Anderson, Lauderdale County, Alabama",Start
"Anniston, Alabama",B
"Arab, Alabama",B
"Ardmore, Alabama",Stub
"Argo, Alabama",Stub
"Ariton, Alabama",Start
"Arley, Alabama",B
"Ashford, Alabama",Stub
"Ashland, Alabama",Stub
"Ashville, Alabama",Start
"Athens, Alabama",Stub
"Atmore, Alabama",Stub
"Attalla, Alabama",Start
"Auburn, Alabama",Start
"Autaugaville, Alabama",Start
"Avon, Alabama",Stub
"Babbie, Alabama",Start
"Baileyton, Alabama",Stub
"Bakerhill, Alabama",Stub
"Banks, Alabama",Start
"Bay Minette, Alabama",Start
"Bayou La Batre, Alabama",Start
"Bear Creek, Alabama",Stub
"Beatrice, Alabama",Stub
"Beaverton, Alabama",Start
"Belk, Alabama",Start
"Benton, Alabama",Start
"Berlin, Alabama",FA
"Bessemer, Alabama",Stub
"Billingsley, Alabama",Stub
"Birmingham, Alabama",Stub
"Blountsville, Alabama",Stub
"Blue Springs, Alabama",Start
"Boaz, Alabama",Stub
"Boligee, Alabama",Stub
"Bon Air, Alabama",B
"Brantley, Alabama",Stub
"Brent, Alabama",Stub
"Brewton, Alabama",Start
"Bridgeport, Alabama",Start
"Brighton, Alabama",B
"Brilliant, Alabama",Stub
"Brookside, Alabama",Stub
"Brookwood, Alabama",Stub
"Brundidge, Alabama",Start
"Butler, Alabama",Stub
"Calera, Alabama",Stub
"Camp Hill, Alabama",B
"Carbon Hill, Alabama",Start
"Cardiff, Alabama",Stub
"Carolina, Alabama",Stub
"Carrollton, Alabama",Start
"Castleberry, Alabama",Stub
"Cedar Bluff, Alabama",Stub
"Center Point, Alabama",Stub
"Centre, Alabama",Stub
"Centreville, Alabama",Start
"Chatom, Alabama",Start
"Chelsea, Alabama",Stub
"Cherokee, Alabama",B
"Chickasaw, Alabama",Start
"Childersburg, Alabama",Stub
"Citronelle, Alabama",Start
"Clanton, Alabama",Start
"Clay, Alabama",Stub
"Clayhatchee, Alabama",Stub
"Clayton, Alabama",Stub
"Cleveland, Alabama",Stub
"Coaling, Alabama",Stub
"Coffee Springs, Alabama",Stub
"Coffeeville, Alabama",Start
"Coker, Alabama",Stub
"Collinsville, Alabama",Stub
"Colony, Alabama",Stub
"Columbia, Alabama",Start
"Columbiana, Alabama",Start
"Coosada, Alabama",Stub
"Cordova, Alabama",Start
"Cottonwood, Alabama",Stub
"County Line, Alabama",Stub
"Courtland, Alabama",Start
"Cowarts, Alabama",Stub
"Creola, Alabama",Start
"Crossville, Alabama",Stub
"Cuba, Alabama",Stub
"Cullman, Alabama",Start
"Cusseta, Alabama",Stub
"Dadeville, Alabama",Stub
"Daleville, Alabama",Start
"Daphne, Alabama",Start
"Dauphin Island, Alabama",Stub
"Daviston, Alabama",Stub
"Deatsville, Alabama",Stub
"Decatur, Alabama",Start
"Demopolis, Alabama",Stub
"Detroit, Alabama",Start
"Dodge City, Alabama",Stub
"Dora, Alabama",Stub
"Dothan, Alabama",Start
"Double Springs, Alabama",Start
"Douglas, Alabama",Start
"Dozier, Alabama",Start
"Dutton, Alabama",Start
"East Brewton, Alabama",Stub
"Eclectic, Alabama",Stub
"Edwardsville, Alabama",Start
"Elba, Alabama",Stub
"Elberta, Alabama",Start
"Eldridge, Alabama",Stub
"Elkmont, Alabama",Stub
"Elmore, Alabama",Stub
"Emelle, Alabama",Stub
"Enterprise, Alabama",Stub
"Epes, Alabama",Stub
"Ethelsville, Alabama",Stub
"Eufaula, Alabama",Start
"Eutaw, Alabama",Start
"Eva, Alabama",Stub
"Evergreen, Conecuh County, Alabama",Start
"Excel, Alabama",Stub
"Fairfield, Alabama",Stub
"Fairhope, Alabama",Stub
"Fairview, Alabama",Start
"Falkville, Alabama",Stub
"Faunsdale, Alabama",Start
"Fayette, Alabama",Stub
"Five Points, Alabama",Stub
"Flomaton, Alabama",Stub
"Florala, Alabama",Start
"Florence, Alabama",Stub
"Foley, Alabama",Stub
"Forkland, Alabama",Stub
"Fort Deposit, Alabama",Stub
"Fort Payne, Alabama",Start
"Franklin, Alabama",Stub
"Frisco City, Alabama",Stub
"Fruithurst, Alabama",Stub
"Fulton, Alabama",Stub
"Fultondale, Alabama",Start
"Fyffe, Alabama",Stub
"Gadsden, Alabama",Start
"Gainesville, Alabama",Stub
"Gantt, Alabama",Stub
"Garden City, Alabama",B
"Gardendale, Alabama",Stub
"Gaylesville, Alabama",Stub
"Geiger, Alabama",Stub
"Geneva, Alabama",Start
"Georgiana, Alabama",Stub
"Geraldine, Alabama",Start
"Gilbertown, Alabama",Stub
"Glen Allen, Alabama",Stub
"Glencoe, Alabama",Stub
"Goldville, Alabama",Start
"Good Hope, Alabama",Stub
"Goodwater, Alabama",B
"Gordo, Alabama",Stub
"Gordon, Alabama",Stub
"Gordonville, Alabama",Stub
"Goshen, Alabama",Start
"Grant, Alabama",Start
"Graysville, Alabama",Start
"Greensboro, Alabama",Stub
"Greenville, Alabama",Stub
"Grove Hill, Alabama",Stub
"Guin, Alabama",Stub
"Gulf Shores, Alabama",Start
"Guntersville, Alabama",Start
"Gurley, Alabama",B
"Gu-Win, Alabama",Start
"Hackleburg, Alabama",Start
"Haleburg, Alabama",Start
"Haleyville, Alabama",Stub
"Hamilton, Alabama",Start
"Hammondville, Alabama",Start
"Hanceville, Alabama",Stub
"Harpersville, Alabama",Stub
"Hartford, Alabama",Start
"Hartselle, Alabama",Stub
"Hayden, Alabama",Start
"Hayneville, Alabama",Stub
"Headland, Alabama",Stub
"Heath, Alabama",Stub
"Heflin, Alabama",Stub
"Helena, Alabama",Stub
"Henagar, Alabama",Start
"Highland Lake, Alabama",Start
"Hillsboro, Alabama",Stub
"Hobson City, Alabama",Stub
"Hodges, Alabama",Stub
"Hokes Bluff, Alabama",Stub
"Hollywood, Alabama",Stub
"Homewood, Alabama",Start
"Hoover, Alabama",Stub
"Horn Hill, Alabama",Stub
"Hueytown, Alabama",Stub
"Huntsville, Alabama",Stub
"Hurtsboro, Alabama",Stub
"Hytop, Alabama",Start
"Ider, Alabama",Stub
"Indian Springs Village, Alabama",Stub
"Irondale, Alabama",Stub
"Jackson, Alabama",Start
"Jackson's Gap, Alabama",Stub
"Jacksonville, Alabama",Stub
"Jasper, Alabama",Start
"Jemison, Alabama",Stub
"Kansas, Alabama",Stub
"Kellyton, Alabama",Stub
"Kennedy, Alabama",Stub
"Killen, Alabama",Stub
"Kimberly, Alabama",Stub
"Kinsey, Alabama",Start
"Kinston, Alabama",Stub
"LaFayette, Alabama",Stub
"Lake View, Alabama",Start
"Lakeview, Alabama",Stub
"Lanett, Alabama",Stub
"Langston, Alabama",Start
"Leeds, Alabama",Stub
"Leesburg, Alabama",Stub
"Leighton, Alabama",Stub
"Lester, Alabama",Stub
"Level Plains, Alabama",Start
"Lexington, Alabama",Stub
"Libertyville, Alabama",Stub
"Lincoln, Alabama",Stub
"Linden, Alabama",Start
"Lipscomb, Alabama",Start
"Lisman, Alabama",Stub
"Littleville, Alabama",Stub
"Livingston, Alabama",Start
"Loachapoka, Alabama",Start
"Lockhart, Alabama",Stub
"Locust Fork, Alabama",Start
"Louisville, Alabama",Start
"Lowndesboro, Alabama",Start
"Loxley, Alabama",Stub
"Luverne, Alabama",Stub
"Lynn, Alabama",Stub
"Madison, Alabama",Stub
"Madrid, Alabama",Stub
"Magnolia Springs, Alabama",Start
"Malvern, Alabama",Stub
"Maplesville, Alabama",Stub
"Margaret, Alabama",Stub
"Marion, Alabama",Stub
"Maytown, Alabama",Start
"McIntosh, Alabama",Start
"McKenzie, Alabama",Stub
"McMullen, Alabama",Stub
"Memphis, Alabama",Stub
"Mentone, Alabama",Stub
"Midfield, Alabama",B
"Midland City, Alabama",B
"Midway, Alabama",Stub
"Millbrook, Alabama",Stub
"Millport, Alabama",Stub
"Millry, Alabama",Stub
"Mobile, Alabama",Start
"Montevallo, Alabama",Start
"Montgomery, Alabama",Stub
"Moody, Alabama",Stub
"Mooresville, Alabama",Stub
"Morris, Alabama",Stub
"Mosses, Alabama",Stub
"Moulton, Alabama",Stub
"Moundville, Alabama",Stub
"Mountain Brook, Alabama",Stub
"Mulga, Alabama",Stub
"Munford, Alabama",Stub
"Muscle Shoals, Alabama",Stub
"Myrtlewood, Alabama",Start
"Napier Field, Alabama",Start
"Natural Bridge, Alabama",Stub
"Nauvoo, Alabama",Start
"Nectar, Alabama",Stub
"Needham, Alabama",Stub
"New Brockton, Alabama",Stub
"New Hope, Alabama",Stub
"New Site, Alabama",Stub
"Newbern, Alabama",Start
"Newville, Alabama",Stub
"North Courtland, Alabama",Stub
"North Johns, Alabama",Stub
"Northport, Alabama",Start
"Notasulga, Alabama",Start
"Oak Grove, Alabama",Stub
"Oak Hill, Alabama",Start
"Oakman, Alabama",Stub
"Odenville, Alabama",Stub
"Ohatchee, Alabama",Stub
"Oneonta, Alabama",Start
"Onycha, Alabama",Stub
"Opelika, Alabama",Start
"Opp, Alabama",B
"Orange Beach, Alabama",Stub
"Orrville, Alabama",Stub
"Owens Cross Roads, Alabama",B
"Oxford, Alabama",Start
"Ozark, Alabama",Stub
"Paint Rock, Alabama",Start
"Parrish, Alabama",Stub
"Pelham, Alabama",B
"Pell City, Alabama",Stub
"Pennington, Alabama",Stub
"Perdido Beach, Alabama",B
"Petrey, Alabama",Stub
"Phenix City, Alabama",Start
"Phil Campbell, Alabama",Stub
"Pickensville, Alabama",Start
"Piedmont, Alabama",Start
"Pike Road, Alabama",B
"Pinckard, Alabama",Stub
"Pine Apple, Alabama",Start
"Pine Hill, Alabama",Stub
"Pine Ridge, Alabama",Stub
"Pinson, Alabama",Stub
"Pisgah, Alabama",Stub
"Pleasant Grove, Alabama",Stub
"Pleasant Groves, Alabama",Stub
"Pollard, Alabama",Start
"Powell, Alabama",Stub
"Prattville, Alabama",Start
"Prichard, Alabama",Stub
"Providence, Alabama",Start
"Ragland, Alabama",Stub
"Rainbow City, Alabama",Start
"Rainsville, Alabama",Start
"Ranburne, Alabama",Stub
"Red Bay, Alabama",Stub
"Red Level, Alabama",Stub
"Reece City, Alabama",Stub
"Reform, Alabama",Start
"Rehobeth, Alabama",Stub
"Repton, Alabama",Stub
"Ridgeville, Alabama",Start
"River Falls, Alabama",Start
"Riverside, Alabama",Stub
"Riverview, Alabama",Start
"Roanoke, Alabama",Stub
"Robertsdale, Alabama",Start
"Rockford, Alabama",Start
"Rogersville, Alabama",Stub
"Rosa, Alabama",B
"Russellville, Alabama",Start
"Rutledge, Alabama",Start
"St. Florian, Alabama",Stub
"Samson, Alabama",Start
"Sand Rock, Alabama",Stub
"Sanford, Alabama",Start
"Saraland, Alabama",Start
"Sardis City, Alabama",Start
"Satsuma, Alabama",Stub
"Scottsboro, Alabama",Stub
"Section, Alabama",Stub
"Selma, Alabama",Stub
"Sheffield, Alabama",Stub
"Shiloh, DeKalb County, Alabama",Stub
"Shorter, Alabama",Stub
"Silas, Alabama",Stub
"Silverhill, Alabama",Start
"Sipsey, Alabama",Start
"Skyline, Alabama",Start
"Slocomb, Alabama",Start
"Smiths Station, Alabama",Stub
"Somerville, Alabama",Stub
"South Vinemont, Alabama",Start
"Southside, Alabama",B
"Spanish Fort, Alabama",Start
"Springville, Alabama",Start
"Steele, Alabama",Start
"Stevenson, Alabama",Start
"Sulligent, Alabama",Stub
"Sumiton, Alabama",Stub
"Summerdale, Alabama",Stub
"Susan Moore, Alabama",Start
"Sweet Water, Alabama",Stub
"Sylacauga, Alabama",Stub
"Sylvan Springs, Alabama",Stub
"Sylvania, Alabama",Stub
"Talladega Springs, Alabama",Stub
"Talladega, Alabama",Stub
"Taylor, Alabama",Stub
"Thomasville, Alabama",Start
"Thorsby, Alabama",Stub
"Town Creek, Alabama",Stub
"Toxey, Alabama",Stub
"Trafford, Alabama",Stub
"Triana, Alabama",Start
"Trinity, Alabama",Stub
"Troy, Alabama",Start
"Trussville, Alabama",Start
"Tuscaloosa, Alabama",Start
"Tuscumbia, Alabama",Stub
"Tuskegee, Alabama",Stub
"Twin, Alabama",Stub
"Union Grove, Alabama",Stub
"Union Springs, Alabama",Stub
"Union, Alabama",Stub
"Uniontown, Alabama",Stub
"Valley, Alabama",Start
"Valley Grande, Alabama",Stub
"Valley Head, Alabama",Stub
"Vance, Alabama",Start
"Vernon, Alabama",Start
"Vestavia Hills, Alabama",Stub
"Vina, Alabama",Stub
"Vincent, Alabama",Stub
"Vredenburgh, Alabama",Stub
"Wadley, Alabama",Stub
"Waldo, Alabama",Start
"Walnut Grove, Alabama",Stub
"Warrior, Alabama",Start
"Waterloo, Alabama",Stub
"Waverly, Alabama",Start
"Weaver, Alabama",Stub
"Webb, Alabama",Stub
"Wedowee, Alabama",Stub
"West Blocton, Alabama",Stub
"West Jefferson, Alabama",Stub
"West Point, Alabama",Stub
"Westover, Alabama",Stub
"Wetumpka, Alabama",Stub
"White Hall, Alabama",Start
"Wilsonville, Alabama",Start
"Winfield, Alabama",Start
"Woodland, Alabama",Start
"Woodstock, Alabama",Stub
"Woodville, Alabama",Start
"Yellow Bluff, Alabama",B
"York, Alabama",Stub
"Adak, Alaska",Stub
"Akhiok, Alaska",Start
"Akiak, Alaska",Start
"Akutan, Alaska",Stub
"Alakanuk, Alaska",B
"Aleknagik, Alaska",Stub
"Allakaket, Alaska",Stub
"Ambler, Alaska",Stub
"Anaktuvuk Pass, Alaska",Stub
"Anchorage, Alaska",Start
"Anderson, Alaska",Stub
"Angoon, Alaska",Start
"Aniak, Alaska",Stub
"Anvik, Alaska",Stub
"Atka, Alaska",Stub
"Atqasuk, Alaska",Start
"Bethel, Alaska",Stub
"Bettles, Alaska",Stub
"Brevig Mission, Alaska",Start
"Buckland, Alaska",Start
"Chefornak, Alaska",Start
"Chevak, Alaska",Stub
"Chignik, Alaska",Stub
"Chuathbaluk, Alaska",Start
"Clark's Point, Alaska",Start
"Coffman Cove, Alaska",B
"Cold Bay, Alaska",Stub
"Cordova, Alaska",Stub
"Craig, Alaska",Stub
"Deering, Alaska",Stub
"Delta Junction, Alaska",Start
"Dillingham, Alaska",Stub
"Diomede, Alaska",Start
"Eagle, Alaska",Stub
"Edna Bay, Alaska",Stub
"Eek, Alaska",B
"Egegik, Alaska",Stub
"Ekwok, Alaska",Start
